time,species_1,species_2,species_3,species_4,species_5
6.10400E+01,1.00000E-01,1.01623E-01,9.76221E-02,1.18799E-01,5.99746E-04
6.10500E+01,1.00000E-01,1.01628E-01,9.76479E-02,1.18977E-01,6.03674E-04
6.10600E+01,1.00000E-01,1.01704E-01,9.80438E-02,1.19218E-01,5.65715E-04
6.10700E+01,1.00000E-01,1.01634E-01,9.77815E-02,1.17763E-01,5.67270E-04
6.10800E+01,1.00000E-01,1.01418E-01,9.82698E-02,1.15549E-01,5.65883E-04
6.10900E+01,1.00000E-01,1.01411E-01,9.79385E-02,1.17557E-01,5.38565E-04
6.11000E+01,1.00000E-01,1.01408E-01,9.79790E-02,1.17593E-01,4.99291E-04
6.11100E+01,1.00000E-01,1.01589E-01,9.78013E-02,1.17829E-01,5.07998E-04
6.11200E+01,1.00000E-01,1.01364E-01,9.81207E-02,1.16075E-01,4.83620E-04
6.11300E+01,1.00000E-01,1.01357E-01,9.80022E-02,1.16524E-01,4.73027E-04
6.11400E+01,1.00000E-01,1.01226E-01,9.83738E-02,1.17705E-01,4.72392E-04
6.11500E+01,1.00000E-01,1.00995E-01,9.88937E-02,1.17509E-01,4.62553E-04
6.11600E+01,1.00000E-01,1.01081E-01,9.97161E-02,1.19313E-01,4.03801E-04
6.11700E+01,1.00000E-01,1.01009E-01,1.00179E-01,1.21083E-01,3.94883E-04
6.11800E+01,1.00000E-01,1.01019E-01,1.00954E-01,1.21063E-01,4.01265E-04
6.11900E+01,1.00000E-01,1.01096E-01,9.98850E-02,1.21634E-01,4.11531E-04
6.12000E+01,1.00000E-01,1.01017E-01,9.93852E-02,1.22762E-01,4.00519E-04
6.12100E+01,1.00000E-01,1.01054E-01,9.94830E-02,1.23749E-01,3.77223E-04
6.12200E+01,1.00000E-01,1.01105E-01,9.90721E-02,1.23783E-01,3.56535E-04
6.12300E+01,1.00000E-01,1.01176E-01,9.91756E-02,1.23650E-01,3.35237E-04
6.12400E+01,1.00000E-01,1.01086E-01,9.91423E-02,1.21786E-01,3.31159E-04
6.12500E+01,1.00000E-01,1.01305E-01,9.92063E-02,1.24339E-01,3.50272E-04
6.12600E+01,1.00000E-01,1.01125E-01,9.89586E-02,1.23316E-01,3.55436E-04
6.12700E+01,1.00000E-01,1.01338E-01,9.96469E-02,1.22626E-01,3.64891E-04
6.12800E+01,1.00000E-01,1.01475E-01,9.88390E-02,1.22374E-01,3.55128E-04
6.12900E+01,1.00000E-01,1.01318E-01,9.88745E-02,1.24279E-01,3.64723E-04
6.13000E+01,1.00000E-01,1.01396E-01,9.88165E-02,1.23683E-01,3.46280E-04
6.13100E+01,1.00000E-01,1.01441E-01,9.88272E-02,1.25063E-01,3.45913E-04
6.13200E+01,1.00000E-01,1.01371E-01,9.86467E-02,1.26006E-01,3.72189E-04
6.13300E+01,1.00000E-01,1.01480E-01,9.80771E-02,1.25079E-01,3.74192E-04
6.13400E+01,1.00000E-01,1.01396E-01,9.85324E-02,1.24912E-01,3.54201E-04
6.13500E+01,1.00000E-01,1.01320E-01,9.78812E-02,1.24607E-01,3.48618E-04
6.13600E+01,1.00000E-01,1.01368E-01,9.75487E-02,1.22667E-01,3.58782E-04
6.13700E+01,1.00000E-01,1.01463E-01,9.82164E-02,1.25084E-01,3.60561E-04
6.13800E+01,1.00000E-01,1.01446E-01,9.68277E-02,1.25277E-01,3.58776E-04
6.13900E+01,1.00000E-01,1.01536E-01,9.72497E-02,1.26066E-01,3.47858E-04
6.14000E+01,1.00000E-01,1.01497E-01,9.75362E-02,1.25259E-01,3.65295E-04
6.14100E+01,1.00000E-01,1.01376E-01,9.80384E-02,1.25135E-01,3.45742E-04
6.14200E+01,1.00000E-01,1.01411E-01,9.77035E-02,1.24252E-01,3.51882E-04
6.14300E+01,1.00000E-01,1.01500E-01,9.75956E-02,1.22366E-01,3.50285E-04
6.14400E+01,1.00000E-01,1.01556E-01,9.78191E-02,1.23221E-01,3.46107E-04
6.14500E+01,1.00000E-01,1.01546E-01,9.77147E-02,1.22477E-01,3.29151E-04
6.14600E+01,1.00000E-01,1.01602E-01,9.73328E-02,1.19771E-01,3.15134E-04
6.14700E+01,1.00000E-01,1.01540E-01,9.64752E-02,1.19531E-01,3.13826E-04
